Single Node,2 Nodes,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes,11 Nodes,12 Nodes,13 Nodes,14 Nodes,15 Nodes
78485101477,39337334123,26018181091,19581196060,15804856450,11415090838,11538102526,10043330793,9068687192,8040408208,8038128193,7334846635,6742076372,6292283082,5796334854
78473363679,39471043431,26178343630,20005313747,16033530944,11540354994,11758029523,9927011091,9047821658,8158638821,8090159124,7368073663,6730632235,6210057726,5790658833
78429919512,39481672053,26568156666,20082121038,16076563860,11561306594,11742577144,10179550876,8991378200,8223481516,7993646906,7406023139,6710262126,6216751160,5914499977
78489488746,39421309222,26499441137,19995376582,15789349817,11634513758,11652529331,10165276081,9038944941,8081583510,8128614373,7358547091,6735410722,6278068324,5806299640
78619833809,39557356325,26265016722,20057584433,15965167411,11625096633,11558322686,10079062555,9053118730,8108921855,8198971349,7358732324,6727599149,6206899000,5829507593
78443873689,39515697775,26406141153,20040763303,16129545971,11679855149,11713329215,9947351373,9080222192,8359795639,8218904645,7355942756,6754853004,6297906088,5762405766
78492696214,39356176880,26424660893,20007407458,16098784002,11646540742,11702882911,10233872378,9064483566,8195322898,8158174029,7340741834,6829994156,6261052409,5701312670
78424041558,39428894399,26482107917,20011536378,16066618923,11677888280,11694975938,10024000960,9040573738,8134354168,8215247041,7416084162,6858979130,6353037404,5789244258
78376808437,39292038846,26250051041,19955153067,15963741916,11578074542,11711359044,10236955215,9036597354,8117881791,8034900375,7387994238,6806708036,6292298649,5760483839
78421856003,39309444961,26304816663,20040843890,16150800886,11515194056,11628694236,10187184891,9008779287,8146656077,8178854560,7391900220,6634451819,6292727512,5865527861
78463810972,39314064531,26396191899,20094215069,16104027563,11484004781,11612598712,10226052906,9021537382,8136964007,8060103371,7418674402,6784641303,6251072708,5811377730
78346246681,39357868574,26515706652,20032442941,16001275944,11587465335,11616448802,10252364027,9002096561,8139704019,8095700001,7435536597,6820633694,6265685207,5857887359
78512509745,39435845759,26454853499,19965872309,16149220939,11725803099,11531314658,10098076745,9035108038,8148890872,8062573659,7437594398,6740339850,6315290685,5757303438
78428529373,39387012676,26205910282,19779831023,16160827508,11630238953,11584009170,10163428062,9000969294,8059966076,8179460367,7399993455,6728681104,6304538903,5813776717
78453867863,39620910361,26575255609,19936568783,15986798185,11677633868,11582760292,10121007147,9184987604,8099489998,8127773393,7481081466,6842705924,6218460199,5795257430
78359094473,39312273988,26277636054,20064884606,16006413993,11664427323,11562572318,10144861195,8762739899,8190145668,8203880991,7365724519,6844130912,6202228895,5790395685
78373219909,39338679195,26410668963,20015328153,16208778432,11694492428,11625463679,10098634490,9047940674,8212341852,8112879124,7354482228,6834627606,6256532568,5845436409
78371098360,39396394849,26407684356,19781189855,15953507721,11720891936,11573154940,10171773519,9065680896,8162276436,8099451300,7444655677,6826832646,6304648875,5894670548
78446495719,39366792222,26421918880,20027023305,15899128420,11640224686,11652148346,10272681083,9106092395,8111685992,8186398853,7451904546,6770350832,6165447269,5862650288
78411538652,39384179012,26525398106,19942760344,15939750364,11655044038,11543447884,10237243581,9041075243,8202494908,8075827894,7372544845,6818663960,6268943655,5762437804
78522553562,39373193514,26387713183,19867098921,16170028089,11641673325,11614106455,10214726150,9083521092,8183828789,8064125226,7373887174,6757982338,6239526652,5842602624
78533085732,39338230917,26448744626,19885384507,16132632279,11550134405,11514922348,10204825209,9024881529,8153759254,8049628185,7447597243,6751133147,6253392623,5831005885
78479609577,39247278810,26436911889,19968438599,16149820861,11567541974,11521078261,10119581528,9022006823,8087115775,8167899640,7390927961,6832492432,6325387461,5860644315
78322738156,39297195149,26573143698,19926871555,16044348864,11564971999,11559880238,10060406518,8978055750,8107448802,8157147968,7436344485,6800931427,6298338830,5781413907
78425363838,39278394182,26543933243,19964345027,16133472060,11707171259,11660971353,10195028263,9043067693,8161121068,8075649747,7415766716,6821378639,6247744968,5895317877
78505122058,39352717930,26548001917,20047416287,16131522014,11652627757,11570548591,10130748823,9023414687,8075779309,8097910098,7357439748,6881200334,6249294053,5802183376
78435871081,39000608386,26430542341,19908832339,16013276533,11589881305,11652949942,10229975922,8990143284,8220366320,8060097031,7369401531,6872688265,6265045947,5804784440
78458182044,39311457945,26397077098,19954175400,15999754194,11608298025,11736628304,10249468118,9027952462,8147358842,8005767078,7364757477,6625286483,6235000956,5817993155
78488697557,39335699152,26214692017,19994735934,15920049743,11610146614,11609892385,10137722196,9128214924,8075410067,8159814774,7386715649,6679789410,6286794227,5807726710
78397307853,39335730348,26467252432,19956908774,15946623095,11642997085,11567926823,10134465065,9064219203,8040714339,8034288742,7417135450,6760181920,6318391015,5875121950
