Single Node,2 Nodes,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes,11 Nodes,12 Nodes,13 Nodes,14 Nodes,15 Nodes
96.858,58.946,48.107,46.414,41.051,39.685,40.552,35.406,32.137,28.995,28.964,26.689,25.101,23.817,21.978
93.3,62.219,45.563,44.052,41.142,39.763,40.2,35.045,31.728,29.162,28.932,27.873,24.665,23.385,21.93
93.256,59.376,46.177,43.413,42.674,39.701,39.734,35.942,32.214,29.53,28.918,27.264,25.164,23.701,22.126
93.264,61.519,46.992,43.72,40.539,39.576,39.641,35.317,31.675,28.984,28.94,27.01,26.025,23.997,21.864
93.159,58.689,45.828,43.583,40.848,39.655,39.612,34.986,31.738,29.469,28.96,27.109,25.618,23.513,21.902
93.062,59.081,46.192,44.216,40.873,39.632,39.634,35.836,31.764,30.078,28.84,26.713,24.693,24.155,22.924
95.014,58.906,45.479,44.523,41.475,39.666,39.657,35.195,31.76,28.702,29.058,26.821,24.767,23.825,22.031
93.534,59.106,46.672,44.242,41.852,40.177,39.651,35.026,31.9,28.993,28.955,26.723,24.826,23.285,21.858
93.473,58.532,47.59,43.517,40.761,39.641,39.526,35.041,31.709,29.23,28.891,26.633,24.894,24.219,21.683
93.057,58.454,46.795,43.397,41.114,39.594,39.692,35.068,31.667,28.97,29.929,27.098,24.89,24.287,21.847
93.291,59.543,46.556,44.764,40.606,39.936,39.605,35.138,31.632,29.609,28.886,26.797,26.162,24.211,22.143
94.04,58.645,46.992,44.492,40.909,39.879,39.445,35.116,32.392,28.825,29.636,26.66,26.02,23.469,21.882
93.736,58.561,46.234,44.099,40.78,39.569,39.526,35.083,32.09,29.127,29.283,26.717,24.997,23.319,21.694
96.191,58.564,45.599,43.335,40.707,39.537,40.543,35.071,31.61,28.858,28.971,27.442,24.708,24.366,21.892
93.192,59.106,46.314,43.997,40.779,39.88,39.564,34.999,31.9,28.815,29.276,26.661,25.812,23.762,22.37
94.233,59.355,46.379,44.436,40.972,39.604,39.603,35.341,31.855,28.817,29.017,27.539,25.02,23.535,22.022
93.788,58.951,47.034,43.961,40.673,39.735,39.714,35.112,31.653,28.92,28.917,26.8,24.899,24.547,22.689
93.626,59.308,45.617,43.002,40.892,39.601,39.563,35.558,31.797,29.176,28.955,27.248,24.744,23.751,22.312
93.987,58.691,46.326,43.773,40.953,39.659,39.56,35.291,32.187,28.848,30.136,27.503,24.63,23.191,21.967
94.99,58.668,45.816,43.932,40.642,39.733,39.822,35.127,31.726,28.852,28.926,26.974,24.774,23.26,21.762
97.459,61.411,46.401,43.432,40.536,39.494,39.745,35.491,32.002,28.967,29.042,26.718,24.887,23.086,22.554
93.037,59.069,46.743,43.343,40.746,39.564,39.639,35.09,31.618,29.308,28.867,27.847,25.559,23.209,22.17
93.308,59.169,46.123,43.794,41.091,39.542,39.575,35.143,31.645,29.062,28.777,26.674,24.979,23.461,22.164
93.661,59.931,45.87,43.186,40.596,39.643,39.464,35.179,31.967,29.279,28.866,26.695,24.927,23.882,22.322
95.254,59.133,46.519,43.48,40.77,39.56,39.609,35.118,31.871,29.192,28.974,26.656,25.364,23.12,22.304
93.562,58.944,45.919,44.166,41.154,39.624,39.498,35.254,31.63,28.766,28.884,26.849,25.469,23.181,21.953
95.598,58.201,46.76,43.596,41.082,39.823,39.771,35.115,31.763,29.603,28.831,26.572,24.779,23.073,22.426
93.492,58.712,46.61,43.92,40.573,39.823,39.694,35.106,32.194,28.805,28.862,26.67,25.894,23.086,22.093
96.647,58.971,46.043,43.948,40.611,39.81,39.78,35.133,32.106,28.806,29.578,26.657,25.501,23.116,22.266
93.136,59.601,46.117,43.618,40.956,39.63,39.529,35.319,31.56,28.77,28.801,26.695,24.945,23.342,22.485
