Single Node,2 Nodes,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes,11 Nodes,12 Nodes,13 Nodes,14 Nodes,15 Nodes
34673673843,33234998344,32506746295,32731560278,31258722639,31446319949,30829309232,30132903398,30230493434,30185734834,30188938434,30093400349,30032387498,30084578892,30023384374
34298398347,33239823908,31368818883,32002539698,30532941845,32725596873,30023423434,30120938093,30198938909,30298348898,30100746598,30083749833,30239983422,30023983498,30084758343
32384788983,32509304943,30579221191,31245079450,31103976309,31793049898,30023423133,30012398209,30329834894,30183749889,30023823987,30072387982,30093487334,29984734343,30012000892
34748598342,33983948798,31905195845,31095650369,31065842225,31283987384,30124243434,30238739833,30134495874,30188748794,29973468433,30287398293,30283498344,29834673434,30438749843
33987623782,33478398798,31098403480,30729628682,31410968315,30928378283,30323432344,30012328783,30045783487,30076458745,29837498983,30287348734,30012387323,30076438874,30128398344
32987628378,33928377983,30988943994,32898362066,31470340039,31489283972,30123243435,30123989909,30065436584,30023746454,30028372387,30018278273,30328373847,30210837498,30047838723
33987238722,32573849834,31003439490,31248496783,32720212328,31983748299,30023353435,30128998303,30137644498,30046253654,30087374683,30038238732,30238349823,30138738734,30072309343
34132873874,32873489845,30001343545,30068467776,31963562915,31938487394,29902483445,30012873980,30017887389,30023878783,30187498343,29809093434,30083747634,30278483743,30078982309
34012872342,32983498533,31984803080,31941067333,31704168848,31384798230,30098349823,30059894094,30228878739,30837887348,30200736434,29823898234,30027387334,30374658734,30008478732
33298398371,33123434560,32001945985,30792270737,31598983408,31983408239,30029839893,30398777874,30173688797,30183743948,30238477634,30092832402,30734677783,30283749822,29873483498
33798398723,33133943490,31898039008,29948873992,31398499839,30983742983,30123249809,30087098323,30028735872,30123887839,30012764373,30128394834,30034348798,30072300384,30384598934
33265498656,33182653215,31465229682,32554652652,31409852665,32298546182,30052106556,30265249856,30032654232,30132652314,30012365265,30126526523,30269526565,30265265652,30026856856
32956565465,33198565456,32098565461,32156465985,31469529886,30964562521,30152263518,30126582645,30152265542,30326516532,30025165987,29522654652,30026519685,30122536965,30296854135
33695898400,32865135652,31426532323,32001543262,31059852556,31065295349,30395267116,30162598749,30142652659,30265154543,30021652165,30126554698,30185665162,30126952416,30226854165
32956546526,32965646522,31632965232,31026526664,31406659535,31026985549,30065984565,30265954651,30142652322,30165265414,30132685246,30123302654,30159654263,30129846523,30221854165
32611652659,32765454216,31502650063,31923652232,31006526814,31026598547,30015829668,30265998465,30165231952,30156426532,30012958465,29635524112,30125369524,30126996546,30015641265
32698565813,33165926526,31125132622,30269514131,31411652652,31126438593,30154233649,30015649856,30132526749,30192655546,30121311032,30123362532,30196635123,30112095265,29096465265
34652698522,33146526522,31652296231,30156265911,31465266652,31029652977,30125459641,30249856553,30016526854,30132652465,30102201321,30125578963,30195264652,30059846523,29523100265
32695986512,33183265778,31398564652,30256227904,31419852223,31362972565,30052131652,31016852946,30265214653,30126523411,30159874651,29633521533,30125974652,30096636426,30016526522
33956521320,33196535656,31156296852,30265985646,31629525565,32005419985,30165233431,30026957471,30126525415,30196423213,30125987468,30026696964,30125689974,30125597856,31016526216
32098556561,33626985621,32001541233,31265882651,31432556523,32026529658,30132553261,30026598865,30032165231,30165223226,30102236524,30121365265,30126598465,30125564982,31012556452
33965321323,33126574897,32109550531,31022585985,31479226523,31299685584,30125596845,30013265262,30221652652,30165532541,30012523698,30154982344,30125526546,30129864523,30015642165
32653265263,33176455265,31565352651,31023443201,31233654983,32233625622,30010249827,30026498536,30526526543,30129965416,30021654235,30002548631,31202256546,29166952346,30226516523
33956546523,33465296855,31236526523,31712652265,31498598563,31026526556,30016493715,30020216513,30265265469,30125846523,30111023652,30125469853,30192356843,30122648523,30124652132
34254123212,33265955501,31265265000,31965652322,32652268523,31326526521,30032526413,30026516523,30152635265,30126685674,30122521654,30123645726,30125564123,30219648534,30025496521
33923565156,33216527991,31065298232,32011985426,31472965535,32074816692,30023554698,30165265249,30156264652,30126995846,30125521664,30126598745,30299645126,30288564972,30019565432
33821656522,33185265465,31085265321,31026544465,31449855652,31625266596,30169521353,30195642323,30192354644,30126654216,30122369852,31002652465,30215569853,29522698716,29654654322
34656265232,33226548956,31265265233,31365957719,31451882496,31029536719,30132655545,30120003465,30123254658,30295264565,30132202569,31022651653,30129965323,31032669854,30016526516
33923652320,33206498566,31326532653,31098565446,31482674923,32699218722,31022650132,30016525654,30132654968,30326523566,30012215865,30026526513,30192563246,30126954699,30225412352
