Single Node,2 Nodes,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes,11 Nodes,12 Nodes,13 Nodes,14 Nodes,15 Nodes
47674735000,42807493627,40995707863,42103688066,41316554375,41316554375,39404317317,39570625496,40148190523,40463148103,40414581468,41237775709,40450052262,40547203883,40662923854
46473296179,42236371734,41965945719,41794297103,41772591845,41235652320,39920710222,39616960493,40165895365,39736801837,40168916104,40694287836,40739404650,40483001077,41598430036
44000544728,41747732870,41906229775,41734134927,42008495949,41123749855,39253804945,40191208701,40128462259,40299443024,39832424745,41178729801,40487471033,40663820441,40870900141
47356865265,41119060283,41028247654,41836453650,41265322232,42355356003,39391661070,39474502970,39727632656,39753812135,40498495500,40858511796,41327950101,41022583578,40813587723
46525335256,41135431458,41874318437,41693256202,42659565232,42623255300,39204138595,39851148764,39973207114,40192747435,40613834871,40586962046,40689655913,40856425912,40554397760
46235362651,54761841073,41044733224,41659855523,41322209798,42168897412,39562231532,39532662356,39740428259,40150253533,40055884639,40275677718,40329282781,41139286051,41043212768
44895653260,40067988328,41423562032,42659910323,41982223564,41622582320,39456532310,39652263542,40178209064,39793034982,39961920563,40609503655,40525622449,40666303505,40547942466
47653987797,41356252324,41065362321,41652659863,41556589525,41633089532,39521165323,40326559862,39954282832,40303307050,40167582612,40151702887,40676868171,40441720358,40547942466
45200231694,41978232653,41686532234,41659965650,41655509852,41652325622,40135699856,40126652321,40123662356,40326516563,40019796898,40258314226,40712042011,40777725652,40733600652
47985966320,41565223262,40983526532,41889232001,42569989800,41985225202,40352666520,39652265231,39123265323,40326513265,40237023986,40201183871,40584088822,40855101850,40901057012
47213013563,42236560132,41326535562,41658752363,41922057985,41320054658,39588745133,39746685982,40156523541,40326555983,39991583522,40235659836,40569855654,40326532656,41396932655
47859532132,41690012530,41297855650,41289745652,41198565232,41266535623,39205587513,39522264621,40123269532,40565898546,40394439327,40235659865,40326598565,40326953247,40817604783
47659623133,41356529856,41352653220,41209899103,41956521132,41652265923,39021645598,39566569200,40326553263,41326586531,40336018073,40256596556,40265986463,40659855653,41127935228
44652316321,41236595501,40865989956,41720554520,41659886598,41326653265,39562231432,39122398565,40198565223,41326565613,40586265845,40121653332,40658898562,40158645653,40799236394
45626977000,40326850777,41658980021,41653002193,41658898562,41685526952,39461255874,39646657821,42659814321,40986541653,40395856429,40316552356,40326555986,40326659321,40650779200
45263358623,41032652661,41567992020,41156298203,41379823226,41328865974,39266465213,39466568921,42016365321,39965461232,40241911733,40256865440,40326556856,40321695321,40672962209
47889135501,41026988707,41326652562,41855136574,42898205453,41365598232,39462265864,39528777979,40123665984,40123596978,40214139417,40259874656,40326623568,40213596332,40879573839
45256635603,41326692054,41237789010,41965532941,42872232565,41659822032,39135766426,39547798666,41326523252,40325568546,40464395296,40232685526,40326668956,40326664652,40849673885
45263313003,41698889856,41623350914,41698221010,42653799646,41320056888,39462215631,39468120659,41032698652,41326859864,40163882882,40235659686,40569865859,40321165231,40614470782
47195622025,42659356213,41422025971,41659855232,42315565313,41698203656,39465221353,39576996937,40021666565,41326859679,40369398090,40465986646,40567498565,40326441326,41298300220
46923224770,41398232132,41659886500,41985226350,41982223565,41798502522,39645224562,39546223691,41326531314,41652359685,40498495501,40465986465,40326659855,41216553268,41117346198
45122294351,42659334165,41023256653,41923554979,41556589526,41956223598,39415562897,39562845497,40126533653,40123562356,40613834872,40326559686,40326689856,41265543356,40930835962
47100239832,41285677652,41369852802,41652033014,41655509853,42356955100,39645550132,39616960494,40169985322,41326853213,40055884640,40326568595,41328565296,40956532132,40767161499
47156911347,41399365001,41398732632,41412279413,42569989801,42189865532,39552626512,40191208702,41235963513,40135965656,39961920564,41235986466,41235698210,47132656113,41052380163
46923557192,41326986560,41145660987,41639851025,41922057986,41985322324,39652331326,39326531971,41326555685,41326598546,40167586459,41326582502,40565985653,40132596586,40884819439
45369110872,42389569001,41130964388,41988549123,41198565233,41877565431,39465223213,39851148765,42652165852,40316532661,40019732165,40232652994,41235685328,40598655465,40908277267
47180233452,42579300213,41432652033,41956227842,41956521133,41658852985,39785546230,39532621543,40198237996,40326544695,40237135265,41032662379,40532666983,40956546526,41018955126
44205689135,42165896610,41987200696,41893367592,41659886599,41659855325,39136552635,39652263543,40139639685,41326532362,39991583523,40232659654,40565985341,40153266561,41104611549
44659852351,42326466423,41366079204,41923644569,41658898563,41326853265,34695225452,40326659863,40136959326,41326566859,40394432651,40326597653,40874656120,40132555635,40931393522
44765265100,42659333600,41466365631,41925345235,41379823227,43265898614,39522212131,40126652326,40165863226,41658966532,40336018074,40326446523,40565234192,40295836165,40627439202
