Single Node,2 Nodes,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes,11 Nodes,12 Nodes,13 Nodes,14 Nodes,15 Nodes
88.734,43.293,33.067,21.48,17.41,14.492,12.431,10.875,10.784,9.475,9.6,9.61,8.9,7.6,9.2
86.859,50.404,29.737,21.653,17.396,14.59,12.455,10.826,10.98,9.43,9.5,9.36,8.96,7.8,9.1
89.92,45.637,30.024,21.72,17.479,15.41,12.425,12.513,10.966,12.472,11.2,9.6,8.7,9.6,9.8
87.08,48.198,28.971,22.07,17.385,14.422,12.411,10.863,10.444,9.653,10.3,9.4,9.2,9.5,8.9
94.12,45.972,31.187,21.687,17.376,18.773,12.402,10.854,12.738,10.709,9.5,9.32,9.4,9.4,8.1
89.055,48.143,30.55,21.733,17.368,17.714,12.38,10.963,10.685,9.608,8.9,8.1,9.6,9.8,8.3
88.382,47.608,30.401,22.179,17.381,14.424,13.625,10.832,10.643,13.001,8.4,8.6,9.7,9.7,8.1
92.798,46.543,29.295,21.713,17.803,14.927,12.373,10.842,10.52,9.556,9.3,8.4,8.3,9.1,8.4
87.21,44.554,30.35,23.459,17.402,14.441,12.368,10.834,10.632,11.868,9.2,11.2,8.1,10,9.5
88.843,51.465,30.691,23.655,17.339,16.882,12.391,10.887,10.515,9.509,10.1,11.6,9.6,9.5,9.4
87.774,43.779,34.888,21.828,17.759,14.426,12.374,12.251,10.587,9.567,9.2,12.6,9.1,7,9.6
90.895,43.255,35,26.691,19.076,14.43,12.38,11.765,10.693,9.447,9.7,9.5,9.1,7.8,9.2
90.822,44.348,31.179,23.023,17.364,15.978,12.42,10.862,11.912,10.793,9.4,9.6,9.4,7.9,8.1
87.353,48.669,29.31,22.54,17.346,14.512,12.402,10.86,15.772,9.476,11.1,9.4,8.9,7.2,8.2
87.076,49.513,29.236,24.952,17.338,14.884,12.359,10.877,10.544,10.653,9.2,9.23,8.9,8,8.7
89.199,46.941,31.438,24.473,19.021,14.489,12.392,10.861,10.578,14.297,8.5,9.45,9.4,9,8.9
87.111,50.59,31.068,21.74,17.696,15.271,13.342,10.824,11.273,9.668,9.2,9.2,9.4,9.5,8.4
87.492,43.391,30.207,22.866,17.371,14.514,12.404,11.518,10.637,15.969,9.4,9.4,9.3,9.8,9.6
89.706,51.131,30.24,23.585,19.676,14.916,12.401,10.858,12.042,9.82,9.6,9.8,9.1,9.3,9.9
87.819,43.617,29.342,22.415,17.388,17.517,14.528,10.842,10.985,10.412,11.3,9.1,10.2,8.5,9.4
88.778,45.387,30.186,21.901,17.448,14.42,12.415,11.082,12.542,9.399,11.2,9,8.5,8.5,9.2
87.456,51.011,32.162,21.651,17.689,14.959,12.404,10.86,12.219,13.119,13.6,9.5,8.9,9.4,10.3
87.032,45.586,29.733,21.714,17.367,14.483,12.453,10.83,10.881,10.591,9.4,10.3,9.4,9.7,11.2
92.233,43.918,30.838,21.75,18.358,14.78,12.872,11.881,10.827,9.743,10.2,11.3,9.9,9.1,10.5
96.47,43.444,30.623,23.393,17.398,14.554,15.218,11.858,11.949,9.6,9.8,11.3,9.4,9.9,9.4
88.556,45.706,28.842,24.41,19.335,15.214,12.413,10.841,10.511,15.217,9.5,9.36,9.6,9.2,8.1
91.98,47.909,29.043,21.764,17.794,14.537,12.421,13.866,10.547,9.692,9.4,9.4,10,9.4,8.6
94.333,47.272,29.94,22.621,18.566,14.78,12.411,10.965,10.626,9.675,10.4,9.6,9.8,9.8,8.4
87.098,45.712,29.245,21.653,18.179,14.467,12.474,10.847,10.583,9.549,10.9,10.3,9.8,9.8,9.8
89.759,46.065,29.276,21.734,19.45,14.463,17.087,10.872,10.535,9.526,9.2,10.3,9.4,7.9,9.6
