Single Node,2 Nodes,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes,11 Nodes,12 Nodes,13 Nodes,14 Nodes,15 Nodes
79826432657,39344250488,26158444476,19823546722,15649827634,12980342606,11001384664,9642004364,8422369482,7761721125,7139698556,7196566565,7732696867,7165959656,7265986544
79133617888,39202481803,26169163256,19603186195,15602400594,12874940893,11045596164,9679138841,8426326265,7571255723,7136658986,7193652665,7747493514,7165985695,7265498657
79311187417,39386598438,26160546229,19582553581,15591935712,12966534927,10994523358,9669649651,8618390078,7627068479,7229535646,7369856626,7758379686,7198656589,7165956526
78883990066,39455272694,26014139693,19270292274,15347799077,12959362489,11075898044,9692628909,8425921433,7787641902,7126859666,7265966365,7756198565,7198565982,7265652656
79228804959,39345187923,26050986499,19594831538,15607366445,10865804041,11054651806,9716419788,8473581169,7602840901,7198220226,7265465265,7796505559,7168596526,7126562652
79136923895,39401994345,26244584706,19570901223,15594703991,13006567942,11303668458,9691429565,8600542671,7762452990,7165986652,7265986665,7598669565,7168999352,7256452002
78990316474,39480908157,26148715025,19597929132,15608280505,12949292668,11124853406,9662684671,8402575464,7751979381,7132695598,7125656232,7598565965,7198669804,7165996546
79225037470,39444403085,26189589230,19407951629,15559391700,10410250038,11059949601,9719890319,8671620732,7776387737,7165925462,7265993965,7498556595,7198565635,7165993636
79147854632,39411416329,26277435924,19547999114,15531485467,12954325727,11078540010,9224299764,8429923081,7789741398,7365985268,7465986565,7526899905,7264795656,7132599696
77515812755,39476949682,26016757875,19663936983,15648838907,12651987505,11091742591,9695900459,8533312393,7732699167,7132969260,6932652652,7596996501,7268990326,7215432653
79035812045,39433138597,26229376820,19601443068,15572781910,12996027993,11036868935,9689564867,8656548073,7747493514,7265993401,6987546665,7516566293,7265993102,7265982005
79548180519,39346192169,26051229221,19343956858,15619536404,12980838410,11084059940,9643873746,8635804018,7758379324,7264996502,6985653265,7168592652,7265993213,7236599696
79103740081,39404889888,26215088413,19545895829,15597134706,11786289022,11077660313,9649645852,8624195101,7756114761,7165996969,7106565985,7265965006,7096856569,7256416500
79155999412,39549108201,25960539435,19613074778,15582138811,12949649004,11092577802,9650164087,8731851532,7796945559,7165559836,7068598655,7513566986,7265598613,7135939003
78981743065,39405016232,25552569389,19590664880,15607777513,12689285741,11087333899,9661684568,8570268441,7713196663,7165900246,7068526589,7154982655,7165993502,7165226502
79139429566,39394396417,26219930542,19542044989,15636650751,12604528802,11063425591,9640228385,8552403625,7854309848,7165985568,7206526565,7196598265,7265986563,7165226536
79127546184,39519923115,26211999679,19324125263,14919017930,13152964893,11005380763,9699728512,8632708037,7771950289,7356668910,7065985656,7165986559,7235989646,7359656926
79180749829,39254758888,26180276845,19526121565,15560087077,12949838476,6439121836,9690918694,8634780505,7728947090,7310059656,7068656546,7154985652,7123236549,7356985266
79041530367,39520838866,26169320459,19561636624,15626422910,13029417976,11041118599,9663870166,8679866403,7720575385,7165226523,7135985635,7529855652,7165996546,7165986532
78921916284,39451365503,25423262584,19589091594,15594863725,13007264421,11039729159,9677900660,8638787623,7870679084,7198666523,7068529965,7569898652,7135269532,7498659632
79032392689,39164223113,26172550127,19623891291,15565431212,12976665354,11105157774,9637294840,8673945601,7616343894,7165935003,7068556443,7510101032,7165626022,7459686526
79057709974,39592531362,26167825526,19567581199,15619493022,11154125163,11101541249,9631454498,8615046132,7743283092,7196899652,7068299359,7516852320,7165996535,7165598525
79050153036,39261850383,26208639549,19395374470,14519926155,12767098732,11046525176,9637079732,8663074572,7515471117,7168599650,7165898533,7516526513,7165986549,7165968529
79098773215,39478624739,26234506894,19539523935,14846040823,12974922007,11081565708,9678272862,8595904072,7746613928,7168599356,7065852685,7263692958,7198986526,7165865446
79046929929,39335884693,26196870630,19581029819,15516609948,12957635940,9797938834,9420156619,8338466920,7764210531,7326599300,7096866654,7526599396,7165983592,7165996542
79044319578,39440865050,26177552507,19529990264,15558509531,12096709977,11078415298,9643315248,8633464845,5558237825,7165933645,7068665985,7532666026,7165986592,7465986520
79351220793,39551355110,26150516287,19531822039,15484829214,12919566623,11101042324,9683497365,8688803991,7753078883,7165990250,6968566866,7512235603,7168592652,7232664646
79187824268,39467671436,26278891781,19491984050,15722694328,12303915066,11057606906,9674518343,8639740076,7784981354,7165996961,6987100655,7532965265,7198565266,7235969616
79142651638,39256932685,26092159537,19547669295,15626461709,12959843348,11089453718,9601334063,8612110014,7182907458,7198558520,6954356526,7165985629,7187659865,7465986526
78819590988,39306767289,26185411310,19544267920,15658682798,12913427320,10259617325,9484391193,8562894388,7745963237,7165993646,6985466110,7165993526,7103266526,7132698596
