Single Node,2 Nodes,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes,11 Nodes,12 Nodes,13 Nodes,14 Nodes,15 Nodes
95.2,82.5,72.7,70.7,67.7,65.6,64.3,65.7,65.8,66.4,66.5,66.5,65.7,65.2,65.2
92.3,81.3,70.6,66.6,65.5,66.3,66.5,65.2,65.8,66.5,65.3,65.9,65.3,65.1,66.8
90.3,83.44,67.4,69.7,64.8,66.1,65.5,65.7,65.2,66.8,66.8,65.2,66.4,66.1,65.2
92.3,88.2,71.7,66.1,65.7,64.3,66.7,65.4,65.3,65.4,65.2,65.4,66.7,66.3,65.4
94.1,80.7,73.4,66.5,65,64.2,67.4,66.4,64.3,65.3,65.7,66.5,65.3,65.7,65.7
90.5,79.2,75.3,68.2,67.4,67.8,66.4,66.4,64.9,64.8,65.1,65.3,67.3,66.3,65.1
90.4,77.4,74.8,70.2,66,67.2,64.8,65.6,66.4,66.6,66.8,65.9,67.2,66.1,66.8
94.5,79.3,76.3,65.6,67,66.8,66.4,66.3,65.2,66.9,66.1,65.7,66.4,66.4,65.2
92.4,80.4,71.4,67,65,66.1,65.8,65.8,67.5,66.2,65.2,65.8,66.2,67.3,65.1
88.3,80.5,70.3,67,66.3,67.3,64.3,67.4,66.1,66.7,65.9,65.3,67.4,66.6,65
90.8,82.3,75.6,67.2,65.7,67.8,64.7,67.3,65.2,66.8,65.1,65.5,64.3,65.2,66.4
90.2,81.4,72.6,67.2,66.1,67.3,66.3,66.3,66.3,66.4,65.3,65.3,66.2,66.5,66.1
91.5,82.3,71.6,67.2,65.9,66.4,66.4,66.3,65.1,66.2,65.1,65.9,66.3,65.3,65.3
90.3,86.1,77.5,66.3,61.9,67.9,65.3,64.8,66.3,66.9,65.9,65.7,66.4,66.2,62.3
91.2,79.3,72.3,66.4,66.2,66.5,66.2,68.2,65.1,66.4,66.4,66.2,65.9,66.9,66.3
93.4,81.4,78.2,67.7,64.5,66.2,66.4,66.9,65.9,66.8,65.9,64.3,65.4,66.4,66.1
94.2,86.1,72.4,67,66.2,66.3,63.2,62.5,65.1,66.3,62.3,65.2,65.3,66.1,65.3
87.5,81.3,72.9,64.92,66.4,66.7,67.3,66.9,66.4,66.7,65.6,65.3,66.4,66.4,66.9
95.1,82.4,77.1,69.3,62.7,64.9,66.3,66.4,65.3,66.2,65.4,65.1,66.2,66.2,65.1
88.6,77.6,70.1,62.7,69.3,67.9,66.1,66.7,65.1,64.3,65.8,65.9,66.3,66.7,65.3
91.7,81.4,70.5,66.4,66.1,68.3,66.2,66.1,66.3,65.9,65.2,65.7,66.7,65.9,66.3
92.5,88.3,72.9,64.3,68.2,66.1,61.4,65.3,61.3,66.9,65.9,65.9,66.8,65.1,65.1
89.3,74.1,72.3,67.8,67.4,66.2,66.9,64.9,66.3,66.9,65.1,65.2,66.9,65.2,65.3
86.5,79.2,74.8,68.8,66.1,66.4,63.3,63.5,66.4,64.9,65.2,65.3,65.1,65.3,66.4
94.1,81,65.2,66.1,66.4,66.7,64.4,68.2,66.3,66.7,65.7,65.4,65.4,65.4,65.3
92.5,84.5,69.3,67.1,65.7,63.5,62.9,66.3,61.3,66.9,66.4,65.9,65.3,65.3,66.2
95.9,74.2,70.5,67.7,67.3,66.8,67,66.1,66.7,63.5,66.5,65.3,66.5,66.3,65.1
96.4,81.4,70.3,70.1,67.1,66.3,67.9,67.4,66.4,66.5,65.3,66.1,65.2,64.3,66.3
92.8,85.3,72.8,69.4,66.1,66.7,64.3,66.4,66.7,66.4,65.1,65.3,66.4,66.9,65.1
