Single Node,2 Nodes,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes,11 Nodes,12 Nodes,13 Nodes,14 Nodes,15 Nodes
16.74,9.34,7.56,5.98,4.56,4.55,3.75,4.24,4.03,3.93,3.94,4.45,3.58,3.76,3.65
14.8,10.72,8.53,7.23,5.11,4.86,4.02,4.17,4.03,3.93,3.88,4.53,3.54,3.69,3.65
17.8,9.66,7.57,7.24,5.81,5.44,3.86,4.19,4.28,3.93,4.01,4.26,3.53,3.69,3.69
14.98,10.68,7.52,6.42,5.48,5.29,3.77,4.44,4.12,3.91,3.91,4.5,3.54,3.63,3.64
16.08,10.1,8.35,6.32,5.43,4.96,3.85,4.4,4.03,3.94,3.91,4.28,3.53,3.6,3.59
16.49,10.1,7.55,7.23,5.1,5.02,3.79,4.33,4.19,3.86,3.93,4.37,3.54,3.72,3.58
17.81,11.52,7.72,6.29,5.24,4.84,3.84,4.06,4.14,3.9,3.97,4.53,3.54,3.68,3.69
17.19,11.23,7.17,5.95,5.75,5.62,3.79,4.2,4.03,3.9,3.89,4.33,3.52,3.67,3.61
17.43,10.7,6.81,6.3,5.29,4.7,4.13,4.17,4.25,3.89,3.91,4.24,3.53,3.69,3.61
18.5,10.8,7.73,6.58,4.91,4.7,3.8,4.33,4.03,3.91,3.93,4.48,3.53,3.66,3.65
18.18,11.23,7.74,6.1,4.8,4.78,3.84,4.02,4.06,3.9,4.08,4.31,3.54,3.68,3.49
18.04,10.1,7.28,6.79,5.65,4.7,3.79,4.1,4.07,3.91,3.94,4.59,3.53,3.67,3.56
17.67,11.06,7.99,6.34,6.02,4.73,3.79,4.19,4.08,3.92,3.92,4.28,3.54,3.71,3.61
17.18,10.41,6.83,6.17,5.03,5.05,3.96,4.29,4.04,3.95,3.91,4.31,3.53,3.68,3.69
18.56,10.14,8.71,6.42,5.43,5.28,3.98,4.21,4.04,3.93,3.93,4.22,3.53,3.74,3.29
18.14,10.36,7.39,5.53,4.86,4.71,3.79,4.35,4.03,3.94,3.89,4.41,3.53,3.73,3.62
17.63,10.07,9.03,5.82,4.63,4.39,3.94,4.29,4.21,3.92,4.08,4.27,3.54,3.7,3.51
18.15,10.88,8.04,6.58,5.6,4.82,3.74,4.35,4.1,3.94,3.88,4.48,3.53,3.67,3.75
15.91,10.99,7.29,6.28,5.71,5.29,3.81,4.3,4.21,3.92,3.94,4.48,3.52,3.59,3.71
17.89,10.85,7.72,7.01,5.41,4.9,3.87,4.3,4.06,3.88,4.07,4.74,3.54,3.7,3.69
16.75,10.57,7.89,6.57,4.84,5.19,3.91,4.25,4.06,3.97,4.07,4.28,3.54,3.67,3.65
18.4,10.19,9.11,6.8,5.22,5.06,3.74,4.1,4.11,3.87,3.95,4.26,3.54,3.76,3.62
17.9,10.05,7.85,7.13,4.94,4.77,3.81,4.3,4.1,3.94,3.92,4.28,3.54,3.66,3.64
17.58,11.21,7.65,6.04,5.17,4.62,3.85,4.28,4,4.01,4.06,4.65,3.54,3.75,3.61
15.73,9.39,7.7,5.93,5.4,4.88,3.77,4.13,4.21,4.06,3.93,4.23,3.54,3.61,3.62
16.69,11.97,7.28,7.2,4.96,4.57,3.96,4.07,4.23,3.94,3.95,4.34,3.54,3.65,3.69
17.07,11.6,7.79,5.93,5.24,4.62,3.92,4.13,4.06,3.92,3.93,4.46,3.56,3.68,3.64
18.04,10.62,7.98,6.39,5.28,4.43,3.94,4.33,4.14,3.97,3.88,4.44,3.53,3.53,3.68
17.02,10.31,7.51,6.89,5.14,4.36,3.82,4.24,4.05,3.91,3.89,4.24,3.53,3.7,3.69
17.58,10.58,7.29,5.85,5.01,4.58,3.96,4.18,4.05,3.91,3.86,4.32,3.55,3.65,3.61
17.84,10.32,8.34,7.07,5.18,5.01,4.04,4.35,4.06,3.88,3.91,4.28,3.54,3.72,3.67
