Single Node,2 Nodes,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes,11 Nodes,12 Nodes,13 Nodes,14 Nodes,15 Nodes
6.77,5.55,4.7,4.47,3.5,3.66,3.16,3.78,4,2.95,2.95,3.35,3.15,2.77,3.16
4.28,6.24,5.56,5.29,3.26,3.73,3.15,3.83,4.02,2.95,2.95,3.42,3.14,2.76,3.16
6.28,6.41,6.19,4.37,3.29,3.63,3.33,3.76,3.88,3,2.95,3.39,3.13,2.74,3.15
5.79,5.53,4.79,5.06,3.56,3.95,3.13,3.91,4.02,2.96,2.95,3.36,3.13,2.75,3.15
6.05,5.84,5.43,4.13,3.34,3.81,3.36,3.82,3.97,2.95,2.95,3.44,3.16,2.83,3.17
6.3,5.14,5.11,4.6,3.26,3.82,3.15,3.83,3.93,2.96,2.94,3.7,3.15,2.75,3.14
5.92,6.47,5.02,4.63,3.57,3.66,3.27,3.89,3.94,2.95,2.96,3.43,3.16,2.74,3.15
5.91,5.21,5.1,4.6,3.89,3.78,3.12,3.83,4,2.95,2.96,3.69,3.14,2.76,3.15
5.7,5.42,5.17,3.83,3.57,3.76,3.14,3.73,4.02,2.96,2.95,3.39,3.14,2.73,3.16
6.76,5.56,5.64,4.45,3.33,3.88,3.29,3.79,4.01,2.95,2.96,3.72,3.15,2.82,3.15
6.28,5.12,5.39,4.97,3.29,3.64,3.29,3.89,4.01,2.95,2.95,3.71,3.15,2.77,3.14
4.93,5.94,5.56,4.47,3.48,3.57,3.13,3.86,3.98,2.99,2.96,3.4,3.17,2.79,3.13
6.67,6.93,5.07,4.07,3.39,3.55,3.33,3.83,3.88,2.96,2.95,3.38,3.14,2.74,3.13
4.93,6.08,4.54,4.47,3.37,3.64,3.15,3.96,3.95,2.95,2.96,3.41,3.15,2.76,3.13
6.15,5.86,5.63,4.33,3.48,3.59,3.14,3.94,4.01,2.95,2.96,3.37,3.15,2.8,3.13
5.53,5.25,4.97,4.1,3.62,3.87,3.15,3.74,3.9,2.95,2.96,3.41,3.15,2.88,3.12
5.63,5.78,5.04,4.57,3.45,3.57,3.13,4.21,3.95,2.95,2.95,3.39,3.15,2.81,3.15
4.85,5.57,6.04,5.25,3.5,3.91,3.18,3.81,4.01,3,2.96,3.72,3.13,2.71,3.15
5.63,5.57,5.51,4.32,3.5,3.7,3.27,3.97,3.93,2.95,2.95,3.49,3.16,2.76,3.16
6.6,5.38,4.84,4.87,3.44,3.79,3.32,4.02,4.01,2.95,2.94,3.42,3.16,2.7,3.14
6.95,5.81,4.9,3.75,3.36,3.57,3.27,4.02,3.97,2.96,2.97,3.66,3.17,2.79,3.13
6.71,5.66,5.07,4.83,3.31,3.58,3.45,4.17,4.02,2.95,2.97,3.41,3.15,2.74,3.12
4.79,5.13,5.2,4.07,3.32,3.58,3.23,3.75,4,2.95,2.94,3.42,3.16,2.77,3.12
6.59,5.73,4.58,4.65,3.62,3.36,3.14,3.8,3.97,2.97,2.94,3.41,3.15,2.89,3.13
6.83,5.48,5.63,4.04,3.47,3.75,3.12,3.77,3.94,2.95,2.95,3.47,3.15,2.85,3.12
5.4,5.46,4.44,4.09,3.45,3.59,3.13,3.96,4.01,2.95,2.96,3.41,3.14,2.84,3.12
4.84,5.22,5.14,4.18,3.62,3.44,3.14,3.9,3.97,3,2.95,3.42,3.13,2.77,3.11
5.8,5.33,5.32,4.95,3.3,3.66,3.16,3.75,4.01,2.95,2.95,3.44,3.16,2.73,3.15
5.83,5.23,5.06,4.14,3.41,3.71,3.18,3.83,3.88,3.01,2.96,3.44,3.16,2.74,3.16
5.83,5.92,5.22,4.73,3.38,3.8,3.34,3.87,3.99,2.95,2.95,3.42,3.14,2.76,3.16
