Single Node,2 Nodes,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes,11 Nodes,12 Nodes,13 Nodes,14 Nodes,15 Nodes
15671857781,11119278484,9960310296,6730265770,5069161020,4878597771,4667221039,4456921254,4490678000,3171653965,3615688432,3891440993,3134546918,2626218375,2626218375
10997382986,12738814548,9645960097,8165170703,5697553857,5194162836,4769960813,4424577636,4369888906,3171776868,3510503877,4040118885,3119989069,2379119857,2656542652
17337562105,11937856861,8374653619,8103586790,5690189162,5949425546,4205975661,4528765730,4849073087,3107540930,3495273575,3790810822,3668293745,2461711935,2659865232
13914693775,13618841305,8142858041,5822220317,6262965331,4842846487,4002902051,5182631197,4058662912,3377366208,3337479412,3436591123,3208886679,2046540355,2032653265
15689645523,12353697799.5,9548511448,6807079859,5713906999,5752404838,4411514891,5267165116,4080441259,3188124885,3385722794,3933047636,2588799614,2044545356,2065652322
13457259595,8019801354,738076467,7095283762,5782394285,3214381497,3890432436,4982067200,4432424920,3062589763,3396486088,3764274446,3102516463,2153639699,2065986423
16146435603,14116695036,8418402849,7312444859,6144873946,5269399988,3935307841,4425195356,4324408717,3550919302,3492681480,3436270535,3072406741,2498742908,2165234532
11706545778,12039909636,5507367093,6388708798,4698333778,6549438672,4430483143,4777575421,4551032925,3336408694,3359855968,3972457416,2513178333,2321082343,2132695322
12870970865,11260975177,7449887557,6933431407,6169143781,3930753829,4538095467,3681755061,4614789247,3112467727,3443264184,3246799559,3113163499,3267516810,2565453263
16788588175,11762994891,7881732432,6906884547,4996278883,5047865507,4089788114,4237818008,4062359976,3354827712,3600715450,3438628731,2857628783,2183711824,2316565206
14648111000,12641173408,6527370279,6571372074,6753748017,4353067404,4401380859,3420408714,4561217367,3236051711,3488916137,3357351414,3100716451,2261740351,2054564323
15572109882,10848015436,7815652210,7727801664,6206097446,5359657801,4028114985,4412289087,4573605116,3176874706,3472519642,3631670887,3037521283,2272528931,2098356165
11157869309,9717437598,8971950142,7226393211,6500010326,3122150792,3898332085,6406800346,4118690717,3173108102,3520671760,5827797262,2727583138,2320705199,2032656516
12765539278,10056504235,6836000605,6671276849,4131120109,5608204280,4684490842,4973346370,4541986360,3267589343,3498986401,3953895136,3175024224,2233561021,2031652265
16356083675,11814277557,9589881090,7118847216,5239030155,3193243671,4401519310,4552265436,4611085046,3238101692,3378276366,4060590954,2553246661,2167417460,2019565232
15336653142,7866532413,6539166589,5504418582,5203430084,3059766837,4321204844,5061347202,4621470000,3134693104,3486894154,4007262128,2578345403,2481448495,2165366646
15420820366,9639210114,10556796020,5967849767,8353040597,3362083981,4759527003,4738713688,4523486861,3244707469,3732941399,3844459962,2397802744,2550281661,2031465653
11598125857,11339692956,8569165802,6428670809,6426814719,5244692403,4011779970,4938497630,4581768943,3492028988,3364526941,4168270325,2448020471,2536686868,2064526632
9841323011,9468963906,7791449198,5650391465,5743308256,5757426458,4327142948,4581918917,4784012493,3116810360,3489154122,3929560900,3144185184,2451703140,2016565326
14843075393,11992361001,8929146360,6658848604,5970007231,5777308269,4272380112,4842603963,4727502143,4899668210,3614405740,4471667572,3064166559,2157346731,2651325523
12531097606,11655360096,9207764164,5845117909,4988547143,6219826383,4218104713,4972722204,4691613637,5098683657,3554074988,3964459150,3103533881,2306314361,2031652323
15495541545,13049304586,10420727196,7501417934,5635322351,5759390606,4507917076,4307093822,4768771903,5173878177,3456856699,3803602762,3066380453,2468019619,2013526523
14508694603,10731868720,8335451412,7748445814,5321080698,5577761575,3623053261,4733309297,4685429743,3235089486,3407237012,3839939016,3013550566,2095209568,2316556553
15268418275,12082843134,7883280951,6496004809,5396589602,4106699924,4502719025,4334374825,4586604426,4822920224,2295617229,4050573164,2972661553,2517049532,2435652352
12392126805,9646531190,8371770873,6135580676,6065758237,5276144227,4180503389,4730605935,4942725580,4314480605,3595209427,3825202030,2638704886,2140679570,2652324653
15643615600,12800950084,8989381659,8223487316,6156161503,4840128962,4648046955,4651318775,4984585784,3534062897,3465425867,3890022442,2406599082,2484718291,2165326523
15937727029,12550193817,8500731196,6723963696,5836313431,5250302258,2216190236,3675674664,4211772307,3310089570,3537058117,3584643156,2966521182,2436963152,2132653222
15766950588,11822939835,8458926760,7024623098,5596630912,4799807083,4381815035,6275279332,4512565160,3582572637,3621749826,4009542347,2909662438,2143708939,2465535265
13305919791,10469604922,8103842851,6961871783,5487556107,4980442148,4418480827,2398529262,4236868008,3197325336,3316340417,3846170246,3103114508,2440510514,2652352312
14740147872,11283563921,8081204849,5015955886,3626320944,4976194291,4541925293,4288859438,4074048590,3089391214,3424419342,4025941370,3160982334,2232614079,2031326532
14483245233,10942761458,7586321025,6247145369,3533808030,4887811211,2174076413,2250237213,4089600350,3956420987,3546004280,3960465220,2932640020,2307419208,2031663529
